state,county,bbox
AL,"Autauga County, AL","[-86.921205, 32.3075593, -86.4112258, 32.708116]"
AL,"Baldwin County, AL","[-88.0373165, 30.1455017, -87.3715797, 31.319017]"
AL,"Barbour County, AL","[-85.7470037, 31.61754, -85.0488541, 32.1481065]"
AL,"Bibb County, AL","[-87.421989, 32.83152, -86.8757309, 33.247002]"
AL,"Blount County, AL","[-86.9634316, 33.765316, -86.303516, 34.2603671]"
AL,"Bullock County, AL","[-85.999275, 31.8803085, -85.410074, 32.305289]"
AL,"Butler County, AL","[-86.908699, 31.5237686, -86.4380417, 31.9646166]"
AL,"Calhoun County, AL","[-86.1462534, 33.555988, -85.52932, 33.96846]"
AL,"Chambers County, AL","[-85.5937989, 32.7286221, -85.1217251, 33.108894]"
AL,"Cherokee County, AL","[-85.843875, 33.941814, -85.3988656, 34.526271]"
AL,"Chilton County, AL","[-87.019157, 32.6601189, -86.373474, 33.0718081]"
AL,"Choctaw County, AL","[-88.4731014, 31.6976662, -87.9276465, 32.3102934]"
AL,"Clarke County, AL","[-88.1809032, 31.185486, -87.500716, 31.9912556]"
AL,"Clay County, AL","[-86.174072, 33.090458, -85.640923, 33.499268]"
AL,"Cleburne County, AL","[-85.887512, 33.469357, -85.3045526, 33.964363]"
AL,"Coffee County, AL","[-86.1963039, 31.1820703, -85.788727, 31.6192152]"
AL,"Colbert County, AL","[-88.1399028, 34.5594985, -87.4159057, 34.9073934]"
AL,"Conecuh County, AL","[-87.4274125, 31.1811607, -86.6618239, 31.7528224]"
AL,"Coosa County, AL","[-86.5214744, 32.7534919, -85.9993019, 33.104855]"
AL,"Covington County, AL","[-86.7026644, 30.9934221, -86.186745, 31.5287126]"
AL,"Crenshaw County, AL","[-86.499428, 31.4398952, -86.143867, 32.052055]"
AL,"Cullman County, AL","[-87.150909, 33.8579587, -86.451057, 34.314236]"
AL,"Dale County, AL","[-85.791328, 31.1953496, -85.415321, 31.6207952]"
AL,"Dallas County, AL","[-87.4731808, 32.0469289, -86.806867, 32.7279928]"
AL,"DeKalb County, AL","[-86.1102514, 34.199844, -85.51371, 34.860371]"
AL,"Elmore County, AL","[-86.4132893, 32.4060339, -85.8531176, 32.769295]"
AL,"Escambia County, AL","[-87.6159612, 30.9947259, -86.6878998, 31.261965]"
AL,"Etowah County, AL","[-86.370152, 33.841797, -85.737137, 34.2008438]"
AL,"Fayette County, AL","[-87.9520937, 33.519917, -87.423195, 33.9198705]"
AL,"Franklin County, AL","[-88.1736052, 34.3046089, -87.5295419, 34.581839]"
AL,"Geneva County, AL","[-86.1932722, 30.99287, -85.4854184, 31.199825]"
AL,"Greene County, AL","[-88.2072418, 32.5176996, -87.7060098, 33.1539046]"
AL,"Hale County, AL","[-87.8706629, 32.4691317, -87.42028, 33.0070054]"
AL,"Henry County, AL","[-85.4180071, 31.307615, -85.041305, 31.7743395]"
AL,"Houston County, AL","[-85.7131369, 30.9970734, -84.9991393, 31.3151167]"
AL,"Jackson County, AL","[-86.359034, 34.464473, -85.583145, 34.991098]"
AL,"Jefferson County, AL","[-87.342476, 33.246258, -86.51651, 33.843407]"
AL,"Lamar County, AL","[-88.274619, 33.5245598, -87.9459281, 34.0582974]"
AL,"Lauderdale County, AL","[-88.202969, 34.7318586, -87.2107603, 35.0081121]"
AL,"Lawrence County, AL","[-87.5313589, 34.299427, -87.105141, 34.804977]"
AL,"Lee County, AL","[-85.6966787, 32.4097732, -85.0009959, 32.7465136]"
AL,"Limestone County, AL","[-87.278613, 34.5507833, -86.7835913, 34.9990141]"
AL,"Lowndes County, AL","[-86.9084003, 31.9616974, -86.3963986, 32.4068241]"
AL,"Macon County, AL","[-86.0233835, 32.231975, -85.433543, 32.5959174]"
AL,"Madison County, AL","[-86.7900926, 34.475633, -86.255771, 34.99207]"
AL,"Marengo County, AL","[-88.1183037, 31.989861, -87.4720886, 32.5476413]"
AL,"Marion County, AL","[-88.207229, 33.914726, -87.633972, 34.3209521]"
AL,"Marshall County, AL","[-86.581749, 34.099073, -86.057712, 34.5998058]"
AL,"Mobile County, AL","[-88.4320052, 30.143376, -87.9242041, 31.1733738]"
AL,Mobile County,"[-88.4320052, 30.143376, -87.9242041, 31.1733738]"
AL,"Monroe County, AL","[-87.7855897, 31.228712, -86.9058501, 31.831429]"
AL,"Montgomery County, AL","[-86.4986076, 31.964949, -85.918577, 32.5017263]"
AL,"Morgan County, AL","[-87.110222, 34.304897, -86.5496657, 34.6862123]"
AL,"Perry County, AL","[-87.5252963, 32.2952614, -87.0180611, 32.87569]"
AL,"Pickens County, AL","[-88.3408225, 32.9912819, -87.836296, 33.5339722]"
AL,"Pike County, AL","[-86.199408, 31.616414, -85.6577566, 32.06189]"
AL,"Randolph County, AL","[-85.653236, 33.106735, -85.2321886, 33.501747]"
AL,"Russell County, AL","[-85.4341146, 32.061737, -84.8882885, 32.5100129]"
AL,"St. Clair County, AL","[-86.577799, 33.3917553, -86.043576, 33.989402]"
AL,"Shelby County, AL","[-87.026756, 33.0186603, -86.341032, 33.546638]"
AL,"Sumter County, AL","[-88.4216354, 32.3074414, -87.8405642, 32.9958784]"
AL,"Talladega County, AL","[-86.5031904, 33.102974, -85.794559, 33.6994712]"
AL,"Tallapoosa County, AL","[-86.0136959, 32.4927384, -85.5928508, 33.1070829]"
AL,"Tuscaloosa County, AL","[-87.840347, 33.003379, -87.065705, 33.610226]"
AL,"Walker County, AL","[-87.636116, 33.5128395, -86.9536337, 34.005749]"
AL,"Washington County, AL","[-88.4642877, 31.1142415, -87.887267, 31.699303]"
AL,"Wilcox County, AL","[-87.6678736, 31.827288, -86.8553319, 32.2692024]"
AL,"Winston County, AL","[-87.636604, 33.985142, -87.10955, 34.3068428]"
AK,"Aleutians East Borough, AK","[-166.225647, 53.91608, -158.890846, 56.9525186]"
