FIPS_Code,Stabr,Area_Name,Attribute,Value
0,US,United States,POVALL_2023,40763043
0,US,United States,CI90LBALL_2023,40485829
0,US,United States,CI90UBALL_2023,41040257
0,US,United States,PCTPOVALL_2023,12.5
0,US,United States,CI90LBALLP_2023,12.4
0,US,United States,CI90UBALLP_2023,12.6
0,US,United States,POV017_2023,11445264
0,US,United States,CI90LB017_2023,11310265
0,US,United States,CI90UB017_2023,11580263
0,US,United States,PCTPOV017_2023,16
0,US,United States,CI90LB017P_2023,15.8
0,US,United States,CI90UB017P_2023,16.2
0,US,United States,POV517_2023,8139044
0,US,United States,CI90LB517_2023,8036505
0,US,United States,CI90UB517_2023,8241583
0,US,United States,PCTPOV517_2023,15.3
0,US,United States,CI90LB517P_2023,15.1
0,US,United States,CI90UB517P_2023,15.5
0,US,United States,MEDHHINC_2023,77719
0,US,United States,CI90LBINC_2023,77533
0,US,United States,CI90UBINC_2023,77905
0,US,United States,POV04_2023,3027969
0,US,United States,CI90LB04_2023,2977590
0,US,United States,CI90UB04_2023,3078348
0,US,United States,PCTPOV04_2023,16.8
0,US,United States,CI90LB04P_2023,16.5
0,US,United States,CI90UB04P_2023,17.1
1000,AL,Alabama,POVALL_2023,780043
1000,AL,Alabama,CI90LBALL_2023,762230
1000,AL,Alabama,CI90UBALL_2023,797856
1000,AL,Alabama,PCTPOVALL_2023,15.7
1000,AL,Alabama,CI90LBALLP_2023,15.3
1000,AL,Alabama,CI90UBALLP_2023,16.1
1000,AL,Alabama,POV017_2023,236320
1000,AL,Alabama,CI90LB017_2023,226963
1000,AL,Alabama,CI90UB017_2023,245677
1000,AL,Alabama,PCTPOV017_2023,21.3
1000,AL,Alabama,CI90LB017P_2023,20.5
1000,AL,Alabama,CI90UB017P_2023,22.1
1000,AL,Alabama,POV517_2023,165981
1000,AL,Alabama,CI90LB517_2023,157700
1000,AL,Alabama,CI90UB517_2023,174262
1000,AL,Alabama,PCTPOV517_2023,20.2
1000,AL,Alabama,CI90LB517P_2023,19.2
1000,AL,Alabama,CI90UB517P_2023,21.2
1000,AL,Alabama,MEDHHINC_2023,62248
1000,AL,Alabama,CI90LBINC_2023,61546
1000,AL,Alabama,CI90UBINC_2023,62950
1000,AL,Alabama,POV04_2023,66457
1000,AL,Alabama,CI90LB04_2023,61943
1000,AL,Alabama,CI90UB04_2023,70971
1000,AL,Alabama,PCTPOV04_2023,23.2
1000,AL,Alabama,CI90LB04P_2023,21.6
1000,AL,Alabama,CI90UB04P_2023,24.8
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2013,2
1001,AL,Autauga County,Urban_Influence_Code_2013,2
1001,AL,Autauga County,Rural_Urban_Continuum_Code_2023,2
1001,AL,Autauga County,Urban_Influence_Code_2024,4
1001,AL,Autauga County,POVALL_2023,7004
1001,AL,Autauga County,CI90LBALL_2023,5599
1001,AL,Autauga County,CI90UBALL_2023,8409
1001,AL,Autauga County,PCTPOVALL_2023,11.7
1001,AL,Autauga County,CI90LBALLP_2023,9.3
1001,AL,Autauga County,CI90UBALLP_2023,14.1
1001,AL,Autauga County,POV017_2023,2363
1001,AL,Autauga County,CI90LB017_2023,1759
1001,AL,Autauga County,CI90UB017_2023,2967
1001,AL,Autauga County,PCTPOV017_2023,17
1001,AL,Autauga County,CI90LB017P_2023,12.7
1001,AL,Autauga County,CI90UB017P_2023,21.3
1001,AL,Autauga County,POV517_2023,1722
1001,AL,Autauga County,CI90LB517_2023,1254
1001,AL,Autauga County,CI90UB517_2023,2190
1001,AL,Autauga County,PCTPOV517_2023,16.7
1001,AL,Autauga County,CI90LB517P_2023,12.2
1001,AL,Autauga County,CI90UB517P_2023,21.2
1001,AL,Autauga County,MEDHHINC_2023,68857
1001,AL,Autauga County,CI90LBINC_2023,62667
1001,AL,Autauga County,CI90UBINC_2023,75047
1003,AL,Baldwin County,Rural_Urban_Continuum_Code_2013,3
1003,AL,Baldwin County,Urban_Influence_Code_2013,2
1003,AL,Baldwin County,Rural_Urban_Continuum_Code_2023,3
1003,AL,Baldwin County,Urban_Influence_Code_2024,4
1003,AL,Baldwin County,POVALL_2023,24942
1003,AL,Baldwin County,CI90LBALL_2023,20972
1003,AL,Baldwin County,CI90UBALL_2023,28912
1003,AL,Baldwin County,PCTPOVALL_2023,10
1003,AL,Baldwin County,CI90LBALLP_2023,8.4
1003,AL,Baldwin County,CI90UBALLP_2023,11.6
1003,AL,Baldwin County,POV017_2023,7334
1003,AL,Baldwin County,CI90LB017_2023,5752
1003,AL,Baldwin County,CI90UB017_2023,8916
1003,AL,Baldwin County,PCTPOV017_2023,14.1
1003,AL,Baldwin County,CI90LB017P_2023,11.1
1003,AL,Baldwin County,CI90UB017P_2023,17.1
1003,AL,Baldwin County,POV517_2023,5105
1003,AL,Baldwin County,CI90LB517_2023,3889
1003,AL,Baldwin County,CI90UB517_2023,6321
1003,AL,Baldwin County,PCTPOV517_2023,13
1003,AL,Baldwin County,CI90LB517P_2023,9.9
1003,AL,Baldwin County,CI90UB517P_2023,16.1
1003,AL,Baldwin County,MEDHHINC_2023,74248
1003,AL,Baldwin County,CI90LBINC_2023,69046
1003,AL,Baldwin County,CI90UBINC_2023,79450
1005,AL,Barbour County,Rural_Urban_Continuum_Code_2013,6
1005,AL,Barbour County,Urban_Influence_Code_2013,6
1005,AL,Barbour County,Rural_Urban_Continuum_Code_2023,6
1005,AL,Barbour County,Urban_Influence_Code_2024,5
1005,AL,Barbour County,POVALL_2023,5585
1005,AL,Barbour County,CI90LBALL_2023,4266
1005,AL,Barbour County,CI90UBALL_2023,6904
1005,AL,Barbour County,PCTPOVALL_2023,25.5
1005,AL,Barbour County,CI90LBALLP_2023,19.5
1005,AL,Barbour County,CI90UBALLP_2023,31.5
1005,AL,Barbour County,POV017_2023,1738
1005,AL,Barbour County,CI90LB017_2023,1187
1005,AL,Barbour County,CI90UB017_2023,2289
1005,AL,Barbour County,PCTPOV017_2023,34.8
1005,AL,Barbour County,CI90LB017P_2023,23.8
1005,AL,Barbour County,CI90UB017P_2023,45.8
1005,AL,Barbour County,POV517_2023,1226
1005,AL,Barbour County,CI90LB517_2023,813
1005,AL,Barbour County,CI90UB517_2023,1639
1005,AL,Barbour County,PCTPOV517_2023,33.2
1005,AL,Barbour County,CI90LB517P_2023,22
1005,AL,Barbour County,CI90UB517P_2023,44.4
1005,AL,Barbour County,MEDHHINC_2023,45298
1005,AL,Barbour County,CI90LBINC_2023,40531
1005,AL,Barbour County,CI90UBINC_2023,50065
1007,AL,Bibb County,Rural_Urban_Continuum_Code_2013,1
1007,AL,Bibb County,Urban_Influence_Code_2013,1
1007,AL,Bibb County,Rural_Urban_Continuum_Code_2023,1
1007,AL,Bibb County,Urban_Influence_Code_2024,1
1007,AL,Bibb County,POVALL_2023,3870
1007,AL,Bibb County,CI90LBALL_2023,3112
1007,AL,Bibb County,CI90UBALL_2023,4628
1007,AL,Bibb County,PCTPOVALL_2023,19.4
1007,AL,Bibb County,CI90LBALLP_2023,15.6
1007,AL,Bibb County,CI90UBALLP_2023,23.2
1007,AL,Bibb County,POV017_2023,910
1007,AL,Bibb County,CI90LB017_2023,640
1007,AL,Bibb County,CI90UB017_2023,1180
1007,AL,Bibb County,PCTPOV017_2023,21.4
1007,AL,Bibb County,CI90LB017P_2023,15.1
1007,AL,Bibb County,CI90UB017P_2023,27.7
1007,AL,Bibb County,POV517_2023,649
1007,AL,Bibb County,CI90LB517_2023,444
1007,AL,Bibb County,CI90UB517_2023,854
1007,AL,Bibb County,PCTPOV517_2023,20.9
1007,AL,Bibb County,CI90LB517P_2023,14.3
1007,AL,Bibb County,CI90UB517P_2023,27.5
1007,AL,Bibb County,MEDHHINC_2023,56025
1007,AL,Bibb County,CI90LBINC_2023,49463
1007,AL,Bibb County,CI90UBINC_2023,62587
1009,AL,Blount County,Rural_Urban_Continuum_Code_2013,1
1009,AL,Blount County,Urban_Influence_Code_2013,1
1009,AL,Blount County,Rural_Urban_Continuum_Code_2023,1
1009,AL,Blount County,Urban_Influence_Code_2024,1
1009,AL,Blount County,POVALL_2023,7590
1009,AL,Blount County,CI90LBALL_2023,6121
1009,AL,Blount County,CI90UBALL_2023,9059
1009,AL,Blount County,PCTPOVALL_2023,12.8
1009,AL,Blount County,CI90LBALLP_2023,10.3
1009,AL,Blount County,CI90UBALLP_2023,15.3
